2014-05-12/16:16:27.205/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.GroundGrid
2014-05-12/16:16:27.205/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.GroundGrid
2014-05-12/16:16:27.205/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.206/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.206/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.206/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.206/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.206/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.206/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.206/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.206/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.207/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.207/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.207/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.207/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.207/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.207/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.207/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.208/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.208/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.208/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.GroundGrid
